sample,2theta_obs_deg,d_obs_A,I_rel_obs,phase,hkl,2theta_calc_deg,I_rel_calc
CuSe,50.04,1.8213,42.8,CuSe,(108),50.07,48.1
CuSe,53.97,1.6975,7.9,CuSe,(201),53.97,3.5
CuSe,54.80,1.6737,7.6,CuSe,(202),54.82,13.1
CuSe,56.62,1.6244,27.1,CuSe,(216),56.63,54.7
CuSe,63.38,1.4664,2.8,,,,
CuSe,66.57,1.4035,2.8,CuSe,(207),66.67,3.9
CuSe,66.73,1.4007,2.8,CuSe,(207),66.67,3.9
CuSe,66.91,1.3973,2.8,,,,
CuSe,70.32,1.3376,7.3,CuSe,(208),70.37,14.7
CuSe,74.32,1.2753,4.1,CuSe,(312),74.32,9.2
